NAME,RACE,WAS_VACCINATED,SPRINT_SPEED,WEIGHT
Bella,Labrador,Yes,22.7,27.133570765056163
Max,Beagle,No,22.7,9.308678494144077
Charlie,Boxer,Yes,17.719987043497973,30.23844269050346
Luna,Poodle,No,22.7,27.61514928204013
Lucy,Bulldog,Yes,22.741624505112956,22.829233126383322
Cooper,Dachshund,No,29.003347741940697,6.479315215254097
Milo,German Shepherd,Yes,17.86390955975408,41.896064077536955
Bailey,Golden Retriever,No,18.640565014098872,33.837173645764544
Daisy,Chihuahua,Yes,30.226608154100184,0.6526280703252394
Sadie,Pug,No,23.969816250699637,10.712800217929823
Lola,Labrador,Yes,23.93418219458586,22.332911535937686
Tucker,Beagle,No,29.229359078543954,7.671351232148716
Buddy,Boxer,Yes,18.163805449723604,28.20981135783017
Molly,Poodle,No,23.736055141840552,10.43359877671101
Stella,Bulldog,Yes,22.772790396059232,15.375410837434837
Harley,Dachshund,No,27.7,4.838562353795136
Maggie,German Shepherd,Yes,17.934298867595636,28.93584439832788
Bear,Golden Retriever,No,17.7,31.571236662976368
Marley,Chihuahua,Yes,27.7,-1.5401203776060548
Ruby,Pug,No,27.91235006781179,0.9384814933235424
Rosie,Labrador,Yes,17.7,31.978243844607768
Leo,Beagle,No,22.7,8.871118497567322
Baxter,Boxer,Yes,23.24438390490128,27.33764102343962
Lily,Poodle,No,23.074966157285928,12.876259068932717
Jack,Bulldog,Yes,23.14668109457066,21.278086377374088
Penny,Dachshund,No,23.885705181865553,8.20461294854933
Zoey,German Shepherd,Yes,18.585308519938906,28.245032112888488
Teddy,Golden Retriever,No,18.230996875009797,31.87849009172836
Oliver,Chihuahua,Yes,27.7,-0.0031934495940246777
Duke,Pug,No,28.411634217882092,6.541531251033616
Rocky,Labrador,Yes,22.7,21.641466938853014
Buster,Beagle,No,22.7,19.261390922544688
Murphy,Boxer,Yes,23.41289721154754,26.93251387631033
Roxy,Poodle,No,23.794489746984254,14.711445355220498
Coco,Bulldog,Yes,22.7,28.112724560515943
Blue,Dachshund,No,30.131484104420924,1.5457817501448883
Frankie,German Shepherd,Yes,17.7,35.04431797502378
Zeus,Golden Retriever,No,22.7,20.201649380601122
Nala,Chihuahua,Yes,27.7,-3.6409302444921527
Shadow,Pug,No,22.7,8.984306179345618
